Marca temporal,¿En qué semestre te encuentras actualmente?,¿Te has sentido desmotivado(a) para continuar tus estudios en el ITD en los últimos 6 meses?,¿Alguna vez has considerado abandonar la carrera?,¿Presentas dificultades económicas para cubrir tus gastos escolares?,¿Tienes un empleo además de estudiar?,¿Consideras que tus responsabilidades laborales afectan tu rendimiento académico?,¿Has reprobado alguna materia en el último semestre escolar?,¿Te sientes apoyado/a por el personal docente y administrativo del ITD?,¿Cómo calificarías tu satisfacción con los servicios del ITD?,"¿Participas en actividades extracurriculares (deporte, cultura, talleres) dentro del ITD?",Dirección de correo electrónico
5/11/2025 11:25:59,4to - 6to,No,No,Sí,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
5/11/2025 11:26:14,7mo o más,No,No,No,"Sí, medio tiempo",No afecta/No trabajo,Sí,Algunas veces,Insatisfecho/a,Nunca,
5/11/2025 11:26:23,4to - 6to,No,No,Sí,"Sí, medio tiempo",Algo,No,Algunas veces,Satisfecho/a,Algunas veces,
5/11/2025 11:26:23,4to - 6to,No,No,Sí,No,No afecta/No trabajo,No,Siempre,Satisfecho/a,"Sí, frecuentemente",
5/11/2025 11:26:26,4to - 6to,No,Sí,No,No,No afecta/No trabajo,Sí,Algunas veces,Satisfecho/a,Nunca,
5/11/2025 11:26:33,4to - 6to,Si,Sí,No,"Sí, medio tiempo",Algo,No,Algunas veces,Satisfecho/a,Algunas veces,
5/11/2025 11:27:29,1er - 3er,Si,Sí,No,No,No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,Algunas veces,
5/11/2025 11:28:51,4to - 6to,Si,Sí,Sí,No,No afecta/No trabajo,Sí,Algunas veces,Insatisfecho/a,Nunca,
5/11/2025 12:18:44,1er - 3er,Si,Sí,No,"Sí, medio tiempo",Algo,No,Algunas veces,Satisfecho/a,Nunca,
5/11/2025 12:19:13,1er - 3er,No,No,No,"Sí, tiempo completo","Sí, mucho",Sí,Algunas veces,Satisfecho/a,Algunas veces,
5/11/2025 12:19:38,1er - 3er,No,No,No,No,Algo,No,Algunas veces,Satisfecho/a,"Sí, frecuentemente",
5/11/2025 12:19:48,1er - 3er,Si,Sí,Sí,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Algunas veces,
5/11/2025 12:20:35,1er - 3er,No,No,No,"Sí, medio tiempo",No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Nunca,
5/11/2025 12:20:48,1er - 3er,Si,No,No,"Sí, medio tiempo",No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Nunca,
5/11/2025 12:21:08,1er - 3er,No,No,No,No,No afecta/No trabajo,No,Siempre,Satisfecho/a,"Sí, frecuentemente",
5/11/2025 12:21:10,1er - 3er,No,No,Sí,No,No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,"Sí, frecuentemente",
5/11/2025 12:21:21,1er - 3er,Si,Sí,No,"Sí, tiempo completo",Algo,No,Algunas veces,Satisfecho/a,Algunas veces,
5/11/2025 12:21:22,1er - 3er,No,No,No,No,No afecta/No trabajo,No,Siempre,Satisfecho/a,"Sí, frecuentemente",
5/11/2025 12:21:22,1er - 3er,Si,Sí,Sí,"Sí, medio tiempo",Algo,No,Algunas veces,Satisfecho/a,"Sí, frecuentemente",
5/11/2025 12:21:41,1er - 3er,Si,No,Sí,No,No afecta/No trabajo,Sí,Algunas veces,Satisfecho/a,Nunca,
5/11/2025 12:21:46,1er - 3er,Si,No,No,No,No afecta/No trabajo,Sí,Algunas veces,Insatisfecho/a,Nunca,
5/11/2025 12:21:47,1er - 3er,Si,No,Sí,"Sí, medio tiempo","Sí, mucho",No,Algunas veces,Insatisfecho/a,Algunas veces,
5/11/2025 12:21:57,1er - 3er,Si,Sí,No,No,No afecta/No trabajo,Sí,Algunas veces,Insatisfecho/a,Nunca,
5/11/2025 12:22:06,1er - 3er,Si,Sí,Sí,No,No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,"Sí, frecuentemente",
5/11/2025 12:22:17,1er - 3er,Si,No,No,No,No afecta/No trabajo,Sí,Algunas veces,Satisfecho/a,Nunca,
5/11/2025 12:23:08,1er - 3er,Si,Sí,Sí,No,No afecta/No trabajo,Sí,Algunas veces,Satisfecho/a,"Sí, frecuentemente",
5/11/2025 12:23:17,1er - 3er,Si,Sí,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,"Sí, frecuentemente",
5/11/2025 12:23:24,1er - 3er,Si,Sí,No,No,No afecta/No trabajo,Sí,Algunas veces,Satisfecho/a,Nunca,
5/11/2025 12:23:27,1er - 3er,Si,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Nunca,
5/11/2025 12:23:28,1er - 3er,No,No,No,No,No afecta/No trabajo,Sí,Siempre,Satisfecho/a,Algunas veces,
5/11/2025 12:23:28,1er - 3er,Si,No,Sí,"Sí, medio tiempo",Algo,No,Algunas veces,Insatisfecho/a,Nunca,
5/11/2025 12:23:32,1er - 3er,No,No,No,No,No afecta/No trabajo,No,Algunas veces,Insatisfecho/a,"Sí, frecuentemente",
5/11/2025 12:24:02,1er - 3er,No,No,Sí,No,No afecta/No trabajo,No,Siempre,Satisfecho/a,Nunca,
5/11/2025 12:24:03,1er - 3er,No,No,No,No,Algo,No,Siempre,Muy satisfecho/a,Algunas veces,
5/11/2025 12:24:11,1er - 3er,No,No,No,No,No afecta/No trabajo,No,Algunas veces,Satisfecho/a,Nunca,
5/11/2025 12:24:35,1er - 3er,Si,Sí,No,No,No afecta/No trabajo,Sí,Siempre,Satisfecho/a,Algunas veces,
